country,happiness_score,gdp_per_capita,dystopia,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Finland,7.821,1.892,2.518,1.258,0.775,0.736,0.109,0.534
Denmark,7.636,1.953,2.226,1.243,0.777,0.719,0.188,0.532
Iceland,7.557,1.936,2.32,1.32,0.803,0.718,0.27,0.191
Switzerland,7.512,2.026,2.153,1.226,0.822,0.677,0.147,0.461
Netherlands,7.415,1.945,2.137,1.206,0.787,0.651,0.271,0.419
Sweden,7.384,1.92,2.003,1.204,0.803,0.724,0.218,0.512
Norway,7.365,1.997,1.925,1.239,0.786,0.728,0.217,0.474
Israel,7.364,1.826,2.634,1.221,0.818,0.568,0.155,0.143
"New Zealand",7.2,1.852,1.954,1.235,0.752,0.68,0.245,0.483
Austria,7.163,1.931,2.148,1.165,0.774,0.623,0.193,0.329
Australia,7.162,1.9,2.011,1.203,0.772,0.676,0.258,0.341
Ireland,7.041,2.129,1.743,1.166,0.779,0.627,0.19,0.408
Germany,7.034,1.924,2.142,1.088,0.776,0.585,0.163,0.358
Canada,7.025,1.886,1.924,1.188,0.783,0.659,0.217,0.368
"United States",6.977,1.982,2.214,1.182,0.628,0.574,0.22,0.177
"United Kingdom",6.943,1.867,1.967,1.143,0.75,0.597,0.289,0.329
Czechia,6.92,1.815,2.263,1.26,0.715,0.66,0.158,0.048
Belgium,6.805,1.907,2.283,1.106,0.764,0.492,0.049,0.204
France,6.687,1.863,1.895,1.219,0.808,0.567,0.07,0.266
Slovenia,6.63,1.81,1.885,1.249,0.769,0.685,0.118,0.115
"United Arab Emirates",6.576,1.998,1.809,0.98,0.633,0.702,0.204,0.25
"Saudi Arabia",6.523,1.87,2.075,1.092,0.577,0.651,0.078,0.18
Singapore,6.48,2.149,0.932,1.127,0.851,0.672,0.163,0.587
Romania,6.477,1.719,2.446,1.006,0.655,0.605,0.039,0.006
Spain,6.476,1.808,1.893,1.211,0.808,0.505,0.101,0.149
Uruguay,6.474,1.615,1.974,1.18,0.672,0.665,0.103,0.265
Italy,6.467,1.834,2.222,1.052,0.801,0.412,0.085,0.059
Malta,6.447,1.838,1.631,1.169,0.789,0.679,0.174,0.166
Lithuania,6.446,1.804,2.153,1.204,0.659,0.496,0.053,0.077
Slovakia,6.391,1.736,2.094,1.232,0.707,0.479,0.118,0.025
Estonia,6.341,1.793,1.442,1.232,0.728,0.689,0.123,0.333
Panama,6.309,1.715,2.086,1.107,0.709,0.592,0.049,0.051
Brazil,6.293,1.462,2.361,1.044,0.615,0.546,0.131,0.134
Kazakhstan,6.234,1.668,1.86,1.22,0.611,0.584,0.134,0.157
Cyprus,6.221,1.815,2.044,0.909,0.819,0.448,0.123,0.062
Latvia,6.18,1.732,1.923,1.221,0.637,0.502,0.075,0.09
Serbia,6.178,1.55,2.031,1.086,0.658,0.546,0.219,0.088
Chile,6.172,1.651,2.04,1.08,0.748,0.46,0.124,0.069
Nicaragua,6.165,1.105,2.418,1.029,0.617,0.617,0.168,0.212
Mexico,6.128,1.552,2.239,0.886,0.623,0.621,0.092,0.115
Croatia,6.125,1.705,1.884,1.183,0.709,0.535,0.109,0
Poland,6.123,1.758,1.693,1.174,0.712,0.523,0.124,0.14
"El Salvador",6.12,1.265,2.514,0.768,0.607,0.666,0.089,0.212
Hungary,6.086,1.748,1.812,1.233,0.668,0.485,0.078,0.064
Uzbekistan,6.063,1.219,1.913,1.092,0.6,0.716,0.283,0.24
Japan,6.039,1.835,1.487,1.089,0.866,0.537,0.007,0.218
Honduras,6.022,1.111,2.611,0.885,0.555,0.582,0.202,0.076
Portugal,6.016,1.76,1.691,1.078,0.777,0.655,0.016,0.039
Argentina,5.967,1.592,1.891,1.102,0.662,0.555,0.081,0.085
Greece,5.948,1.703,2.119,0.98,0.774,0.249,0.015,0.108
"Korea, Republic of",5.935,1.851,1.656,0.886,0.841,0.414,0.111,0.176
Philippines,5.904,1.268,2.283,0.912,0.514,0.678,0.107,0.142
Thailand,5.891,1.535,1.6,1.096,0.697,0.617,0.321,0.026
"Moldova, Republic of",5.857,1.417,2.142,1.008,0.597,0.561,0.102,0.028
Colombia,5.781,1.452,1.971,0.929,0.72,0.545,0.087,0.077
"Bosnia and Herzegovina",5.768,1.468,1.869,1.068,0.665,0.448,0.244,0.006
Mongolia,5.761,1.393,1.999,1.197,0.467,0.398,0.247,0.059
